MRGID,GEONAME,POL_TYPE,SOVEREIGN1,SOVEREIGN2,SOVEREIGN3,AREA_KM2
8444,American Samoa Exclusive Economic Zone,200NM,United States,NA,NA,405830
8379,Ascension Exclusive Economic Zone,200NM,United Kingdom,NA,NA,446005
8446,Cook Islands Exclusive Economic Zone,200NM,New Zealand,NA,NA,1969553
8389,Overlapping claim Falkland / Malvinas Islands: UK / Argentina,Overlapping claim,United Kingdom,Argentina,NA,550566
8440,French Polynesian Exclusive Economic Zone,200NM,France,NA,NA,4766689
8439,Pitcairn Islands Exclusive Economic Zone,200NM,United Kingdom,NA,NA,842291
8380,St. Helena Exclusive Economic Zone,200NM,United Kingdom,NA,NA,449215
8445,Samoan Exclusive Economic Zone,200NM,Samoa,NA,NA,130480
8448,Tongan Exclusive Economic Zone,200NM,Tonga,NA,NA,666052
8382,Tristan Da Cunha Exclusive Economic Zone,200NM,United Kingdom,NA,NA,758168
8465,Chilean Exclusive Economic Zone,200NM,Chile,NA,NA,2488052
8447,Niue Exclusive Economic Zone,200NM,New Zealand,NA,NA,318140
48961,Joint regime area Argentina / Uruguay,Joint regime,Uruguay,Argentina,NA,41414
48962,Joint regime area Peru / Ecuador,Joint regime,Peru,Ecuador,NA,16097
8467,Uruguayan Exclusive Economic Zone,200NM,Uruguay,NA,NA,143092
8449,Tokelau Exclusive Economic Zone,200NM,New Zealand,NA,NA,320548
8432,Peruvian Exclusive Economic Zone,200NM,Peru,NA,NA,854698
22756,Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands),200NM,Chile,NA,NA,450960
21787,Chilean Exclusive Economic Zone (Easter Island),200NM,Chile,NA,NA,729763
8381,Brazilian Exclusive Economic Zone (Trindade),200NM,Brazil,NA,NA,472481
8450,Kiribati Exclusive Economic Zone (Phoenix Islands),200NM,Kiribati,NA,NA,745782
8466,Argentinean Exclusive Economic Zone,200NM,Argentina,NA,NA,1072053
8386,Amsterdam Island & St. Paul Island Exclusive Economic Zone,200NM,France,NA,NA,512188
8309,Christmas Island Exclusive Economic Zone,200NM,Australia,NA,NA,327994
8308,Cocos Islands Exclusive Economic Zone,200NM,Australia,NA,NA,467440
8334,Comoran Exclusive Economic Zone,200NM,Comores,NA,NA,164476
8385,Crozet Islands Exclusive Economic Zone,200NM,France,NA,NA,575375
48944,Overlapping claim Mayotte: France / Comoros,Overlapping claim,France,Comores,NA,66738
48946,Overlapping claim Ile Tromelin: Reunion / Madagascar / Mauritus,Overlapping claim,France,Madagascar,Republic of Mauritius,274555
8388,Heard and McDonald Islands Exclusive Economic Zone,200NM,Australia,NA,NA,417321
8387,Kerguelen Exclusive Economic Zone,200NM,France,NA,NA,550817
8348,Madagascan Exclusive Economic Zone,200NM,Madagascar,NA,NA,1196285
8396,South African Exclusive Economic Zone,200NM,South Africa,NA,NA,1072679
8312,New Caledonian Exclusive Economic Zone,200NM,France,NA,NA,1175971
8310,Norfolk Island Exclusive Economic Zone,200NM,Australia,NA,NA,430600
8343,Mauritian Exclusive Economic Zone,200NM,Republic of Mauritius,NA,NA,1278182
8338,Réunion Exclusive Economic Zone,200NM,France,NA,NA,315151
8313,Vanuatu Exclusive Economic Zone,200NM,Vanuatu,NA,NA,623424
8395,Namibian Exclusive Economic Zone,200NM,Namibia,NA,NA,562212
21791,Oecussi Ambeno Exclusive Economic Zone,200NM,East Timor,NA,NA,1826
8394,Congolese Exclusive Economic Zone,200NM,Republic of the Congo,NA,NA,33807
8478,Angolan Exclusive Economic Zone,200NM,Angola,NA,NA,495866
8347,Mozambican Exclusive Economic Zone,200NM,Mozambique,NA,NA,566292
8349,Kenyan Exclusive Economic Zone,200NM,Kenya,NA,NA,113833
21798,Protected Zone established under the Torres Strait Treaty,Joint regime,Papua New Guinea,Australia,NA,3717
8384,South African Exclusive Economic Zone (Prince Edward Islands),200NM,South Africa,NA,NA,474897
8479,Tanzanian Exclusive Economic Zone,200NM,Tanzania,NA,NA,241567
8314,Solomon Islands Exclusive Economic Zone,200NM,Solomon Islands,NA,NA,1605325
8337,Seychellois Exclusive Economic Zone,200NM,Seychelles,NA,NA,1341504
48945,Overlapping claim Glorioso Islands: France / Madagascar,Overlapping claim,Madagascar,France,NA,43506
8341,Ile Europa Exclusive Economic Zone,200NM,France,NA,NA,127936
48948,Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu,Overlapping claim,France,Vanuatu,NA,187184
8477,Democratic Republic of the Congo Exclusive Economic Zone,200NM,Democratic Republic of the Congo,NA,NA,13373
8323,Australian Exclusive Economic Zone,200NM,Australia,NA,NA,6871622
8311,Australian Exclusive Economic Zone (Macquarie Island),200NM,Australia,NA,NA,475647
8339,Juan de Nova Exclusive Economic Zone,200NM,France,NA,NA,62775
8340,Bassas da India Exclusive Economic Zone,200NM,France,NA,NA,120706
33176,Overlapping claim: Kenya / Somalia,Overlapping claim,Kenya,Federal Republic of Somalia,NA,50229
8758,East Timorian Exclusive Economic Zone,200NM,East Timor,NA,NA,75647
8412,Anguilla Exclusive Economic Zone,200NM,United Kingdom,NA,NA,90164
8414,Antigua and Barbuda Exclusive Economic Zone,200NM,Antigua and Barbuda,NA,NA,111568
26519,Aruban Exclusive Economic Zone,200NM,Netherlands,NA,NA,30015
8361,Portuguese Exclusive Economic Zone (Azores),200NM,Portugal,NA,NA,960421
8404,Bahamas Exclusive Economic Zone,200NM,Bahamas,NA,NA,619785
8418,Barbados Exclusive Economic Zone,200NM,Barbados,NA,NA,185007
8429,Mexican Exclusive Economic Zone,200NM,Mexico,NA,NA,3187013
26520,Bonaire Exclusive Economic Zone,200NM,Netherlands,NA,NA,13005
8411,British Virgin Islands Exclusive Economic Zone,200NM,United Kingdom,NA,NA,81555
8362,Cape Verdean Exclusive Economic Zone,200NM,Cape Verde,NA,NA,801936
8364,Spanish Exclusive Economic Zone (Canary Islands),200NM,Spain,NA,NA,445910
8407,Cayman Islands Exclusive Economic Zone,200NM,United Kingdom,NA,NA,118291
8401,Clipperton Exclusive Economic Zone,200NM,France,NA,NA,435657
8423,Panamanian Exclusive Economic Zone,200NM,Panama,NA,NA,331318
8424,Costa Rican Exclusive Economic Zone,200NM,Costa Rica,NA,NA,581726
26517,Curaçaoan Exclusive Economic Zone,200NM,Netherlands,NA,NA,25401
8417,Dominican Exclusive Economic Zone,200NM,Dominica,NA,NA,28552
8409,Dominican Republic Exclusive Economic Zone,200NM,Dominican Republic,NA,NA,350694
8430,Guatemalan Exclusive Economic Zone,200NM,Guatemala,NA,NA,110695
8435,Faeroe Exclusive Economic Zone,200NM,Denmark,NA,NA,265632
8370,Gambian Exclusive Economic Zone,200NM,Gambia,NA,NA,23097
8365,Overlapping claim Gibraltarian Exclusive Economic Zone,Overlapping claim,United Kingdom,Spain,NA,388
8419,Grenadian Exclusive Economic Zone,200NM,Grenada,NA,NA,25571
33177,Guadeloupean Exclusive Economic Zone,200NM,France,NA,NA,90705
8390,Sierra Leonian Exclusive Economic Zone,200NM,Sierra Leone,NA,NA,160584
5680,Icelandic Exclusive Economic Zone,200NM,Iceland,NA,NA,763239
8459,Jamaican Exclusive Economic Zone,200NM,Jamaica,NA,NA,256909
8363,Portuguese Exclusive Economic Zone (Madeira),200NM,Portugal,NA,NA,452796
8369,Mauritanian Exclusive Economic Zone,200NM,Mauritania,NA,NA,173180
8415,Montserrat Exclusive Economic Zone,200NM,United Kingdom,NA,NA,7188
48951,Overlapping claim Navassa Island: USA / Haiti / Jamaica,Overlapping claim,Haiti,United States,Jamaica,13890
8443,Palmyra Atoll Exclusive Economic Zone,200NM,United States,NA,NA,353670
33179,Puerto Rican Exclusive Economic Zone,200NM,United States,NA,NA,154661
26518,Saba Exclusive Economic Zone,200NM,Netherlands,NA,NA,9487
48952,Saint-Barthélemy Exclusive Economic Zone,200NM,France,NA,NA,4179
26526,Sint-Eustatius Exclusive Economic Zone,200NM,Netherlands,NA,NA,2176
8413,Saint Kitts and Nevis Exclusive Economic Zone,200NM,Saint Kitts and Nevis,NA,NA,9502
8416,Saint Lucia Exclusive Economic Zone,200NM,Saint Lucia,NA,NA,15413
8495,Saint-Martin Exclusive Economic Zone,200NM,France,NA,NA,1100
8494,Saint-Pierre and Miquelon Exclusive Economic Zone,200NM,France,NA,NA,12414
8421,Saint Vincent and the Grenadines Exclusive Economic Zone,200NM,Saint Vincent and the Grenadines,NA,NA,36244
21803,Sint-Maarten Exclusive Economic Zone,200NM,Netherlands,NA,NA,466
8420,Trinidad and Tobago Exclusive Economic Zone,200NM,Trinidad and Tobago,NA,NA,76562
8405,Turks and Caicos Exclusive Economic Zone,200NM,United Kingdom,NA,NA,91025
33180,Virgin Islander Exclusive Economic Zone,200NM,United States,NA,NA,38275
5688,Portuguese Exclusive Economic Zone,200NM,Portugal,NA,NA,315501
8428,El Salvador Exclusive Economic Zone,200NM,El Salvador,NA,NA,95099
8457,Belizean Exclusive Economic Zone,200NM,Belize,NA,NA,34312
8406,Cuban Exclusive Economic Zone,200NM,Cuba,NA,NA,352259
8408,Haitian Exclusive Economic Zone,200NM,Haiti,NA,NA,103485
33178,Martinican Exclusive Economic Zone,200NM,France,NA,NA,47787
48964,Joint regime area Senegal / Guinea Bissau,Joint regime,Senegal,Guinea-Bissau,NA,63460
48965,Overlapping claim: Venezuela / Aruba / Dominican Republic,Overlapping claim,Venezuela,Netherlands,Dominican Republic,1113
48966,Joint regime area Spain / France,Joint regime,France,Spain,NA,2859
48967,Joint regime area United Kingdom / Denmark (Faeroe Islands),Joint regime,United Kingdom,Denmark,NA,8011
48943,Overlapping claim: Canada / USA,Overlapping claim,Canada,United States,NA,24772
48968,Joint regime area Costa Rica / Ecuador (Galapagos),Joint regime,Costa Rica,Ecuador,NA,17337
8425,Nicaraguan Exclusive Economic Zone,200NM,Nicaragua,NA,NA,213813
8460,Guyanese Exclusive Economic Zone,200NM,Guyana,NA,NA,135060
48969,Joint regime area Guyana / Barbados,Joint regime,Barbados,Guyana,NA,67
48970,Joint regime area Colombia / Dominican Republic,Joint regime,Dominican Republic,Colombia,NA,13111
48971,Overlapping claim: Venezuela / Colombia / Dominican Republic,Overlapping claim,Colombia,Dominican Republic,Venezuela,869
5681,Irish Exclusive Economic Zone,200NM,Ireland,NA,NA,427039
21788,Guernsey Exclusive Economic Zone,200NM,United Kingdom,NA,NA,6531
21789,Jersey Exclusive Economic Zone,200NM,United Kingdom,NA,NA,2277
8371,Senegalese Exclusive Economic Zone,200NM,Senegal,NA,NA,158358
8471,Guinea Bissau Exclusive Economic Zone,200NM,Guinea-Bissau,NA,NA,106870
8472,Guinean Exclusive Economic Zone,200NM,Guinea,NA,NA,102163
8473,Ivory Coast Exclusive Economic Zone,200NM,Ivory Coast,NA,NA,171760
33185,Overlapping claim: Trinidad and Tobago / Venezuela / Guyana,Overlapping claim,Guyana,Trinidad and Tobago,Venezuela,3612
8391,Liberian Exclusive Economic Zone,200NM,Liberia,NA,NA,251781
21792,Joint regime area Colombia / Jamaica,Joint regime,Jamaica,Colombia,NA,15247
48972,Joint regime area Honduras / Cayman Islands,Joint regime,Honduras,United Kingdom,NA,2075
48973,Joint regime area Iceland / Denmark (Faeroe Islands),Joint regime,Denmark,Iceland,NA,1234
8433,Venezuelan Exclusive Economic Zone,200NM,Venezuela,NA,NA,472546
8427,Honduran Exclusive Economic Zone,200NM,Honduras,NA,NA,208636
48974,Joint regime area Ecuador / Colombia,Joint regime,Ecuador,Colombia,NA,18663
48975,Joint regime area Iceland / Norway (Jan Mayen),Joint regime,Iceland,Norway,NA,45532
8493,Canadian Exclusive Economic Zone,200NM,Canada,NA,NA,5740544
8368,Overlapping claim Western Saharan Exclusive Economic Zone,Overlapping claim,Western Sahara,Morocco,NA,284054
8461,Surinamese Exclusive Economic Zone,200NM,Suriname,NA,NA,133303
8462,French Guiana Exclusive Economic Zone,200NM,France,NA,NA,131554
48982,Overlapping claim: Puerto Rico / Dominican Republic,Overlapping claim,United States,Dominican Republic,NA,18297
8452,Johnston Atoll Exclusive Economic Zone,200NM,United States,NA,NA,442443
8426,Colombian Exclusive Economic Zone,200NM,Colombia,NA,NA,718338
62596,Colombian Exclusive Economic Zone (Serrana),200NM,Colombia,NA,NA,2838
62598,Colombian Exclusive Economic Zone (Quitasueño),200NM,Colombia,NA,NA,3689
48984,Colombian Exclusive Economic Zone (Serranilla),200NM,Colombia,NA,NA,1552
48985,Colombian Exclusive Economic Zone (Bajo Nuevo),200NM,Colombia,NA,NA,1550
8367,Moroccan Exclusive Economic Zone,200NM,Morocco,NA,NA,280452
49000,Overlapping claim Melilla: Spain / Morocco,Overlapping claim,Spain,Morocco,NA,27
49001,Overlapping claim Alhucemas Islands: Spain / Morocco,Overlapping claim,Spain,Morocco,NA,14
48998,Overlapping claim Perejil Island: Spain / Morocco,Overlapping claim,Spain,Morocco,NA,1
49002,Overlapping claim Ceuta: Spain / Morocco,Overlapping claim,Spain,Morocco,NA,33
48999,Overlapping claim Peñón de Vélez de la Gomera: Spain / Morocco,Overlapping claim,Spain,Morocco,NA,4
48997,Overlapping claim Chafarinas Islands: Spain / Morocco,Overlapping claim,Spain,Morocco,NA,26
8360,United Arab Emirates Exclusive Economic Zone,200NM,United Arab Emirates,NA,NA,51674
8376,Cypriote Exclusive Economic Zone,200NM,Cyprus,NA,NA,98450
48947,Overlapping claim: Iran / United Arab Emirates,Overlapping claim,United Arab Emirates,Iran,NA,6173
48956,Overlapping claim Doumeira Islands: Djibouti / Eritrea,Overlapping claim,Eritrea,Djibouti,NA,245
8490,Egyptian Exclusive Economic Zone,200NM,Egypt,NA,NA,243342
8351,Eritrean Exclusive Economic Zone,200NM,Eritrea,NA,NA,78110
5678,Georgian Exclusive Economic Zone,200NM,Georgia,NA,NA,22944
8469,Iranian Exclusive Economic Zone,200NM,Iran,NA,NA,215332
8374,Lebanese Exclusive Economic Zone,200NM,Lebanon,NA,NA,20184
8372,Libyan Exclusive Economic Zone,200NM,Libya,NA,NA,364524
5685,Maltese Exclusive Economic Zone,200NM,Malta,NA,NA,52923
8354,Omani Exclusive Economic Zone,200NM,Oman,NA,NA,556490
8356,Saudi Arabian Exclusive Economic Zone,200NM,Saudi Arabia,NA,NA,224219
8346,Sri Lankan Exclusive Economic Zone,200NM,Sri Lanka,NA,NA,533559
8355,Sudanese Exclusive Economic Zone,200NM,Sudan,NA,NA,62826
8373,Syrian Exclusive Economic Zone,200NM,Syria,NA,NA,10269
8392,Togolese Exclusive Economic Zone,200NM,Togo,NA,NA,15447
5679,Greek Exclusive Economic Zone,200NM,Greece,NA,NA,482910
5697,Turkish Exclusive Economic Zone,200NM,Turkey,NA,NA,262233
21790,Monégasque Exclusive Economic Zone,200NM,Monaco,NA,NA,288
8366,Tunisian Exclusive Economic Zone,200NM,Tunisia,NA,NA,99701
5691,Montenegrin Exclusive economic Zone,200NM,Montenegro,NA,NA,6383
5670,Albanian Exclusive Economic Zone,200NM,Albania,NA,NA,12165
5672,Bulgarian Exclusive Economic Zone,200NM,Bulgaria,NA,NA,34745
48953,Palestinian Exclusive Economic Zone,200NM,Palestine,Israel,NA,1120
8357,Kuwaiti Exclusive Economic Zone,200NM,Kuwait,NA,NA,11179
8470,Iraqi Exclusive Economic Zone,200NM,Iraq,NA,NA,1187
8358,Bahraini Exclusive Economic Zone,200NM,Bahrain,NA,NA,7516
8468,Qatari Exclusive Economic Zone,200NM,Qatar,NA,NA,31363
8353,Yemeni Exclusive Economic Zone,200NM,Yemen,NA,NA,527384
8375,Israeli Exclusive Economic Zone,200NM,Israel,NA,NA,24628
8491,Jordanian Exclusive Economic Zone,200NM,Jordan,NA,NA,97
8352,Djiboutian Exclusive Economic Zone,200NM,Djibouti,NA,NA,7223
8481,Bangladeshi Exclusive Economic Zone,200NM,Bangladesh,NA,NA,112166
8474,Nigerian Exclusive Economic Zone,200NM,Nigeria,NA,NA,179048
8475,Cameroonian Exclusive Economic Zone,200NM,Cameroon,NA,NA,15143
21797,Joint regime area Nigeria / Sao Tome and Principe,Joint regime,Sao Tome and Principe,Nigeria,NA,34534
48976,Joint regime area Italy / France,Joint regime,France,Italy,NA,67
22491,Bosnian and Herzegovinian Exclusive Economic Zone,200NM,Bosnia and Herzegovina,NA,NA,13
48957,Guam Exclusive Economic Zone,200NM,United States,NA,NA,208234
8318,Marshall Islands Exclusive Economic Zone,200NM,Marshall Islands,NA,NA,2001566
48980,Northern Mariana Exclusive Economic Zone,200NM,United States,NA,NA,763626
8315,Palau Exclusive Economic Zone,200NM,Palau,NA,NA,614807
8322,Philippines Exclusive Economic Zone,200NM,Philippines,NA,NA,1971033
48954,Overlapping claim Senkaku Islands: Japan / China / Taiwan,Overlapping claim,Taiwan,Japan,China,73794
8485,Singaporean Exclusive Economic Zone,200NM,Singapore,NA,NA,714
8332,Thailand Exclusive Economic Zone,200NM,Thailand,NA,NA,298683
8319,Wake Island Exclusive Economic Zone,200NM,United States,NA,NA,406970
8484,Vietnamese Exclusive Economic Zone,200NM,Vietnam,NA,NA,750958
21796,Joint regime area Japan / Korea,Joint regime,South Korea,Japan,NA,82610
26521,Bruneian Exclusive Economic Zone,200NM,Brunei,NA,NA,43144
8321,Taiwanese Exclusive Economic Zone,200NM,Taiwan,NA,NA,355433
8328,North Korean Exclusive Economic Zone,200NM,North Korea,NA,NA,114379
8331,Cambodian Exclusive Economic Zone,200NM,Cambodia,NA,NA,48697
8486,Chinese Exclusive Economic Zone,200NM,China,NA,NA,963556
5675,Estonian Exclusive Economic Zone,200NM,Estonia,NA,NA,36451
5676,Finnish Exclusive Economic Zone,200NM,Finland,NA,NA,81553
5694,Swedish Exclusive Economic Zone,200NM,Sweden,NA,NA,155347
5684,Lithuanian Exclusive Economic Zone,200NM,Lithuania,NA,NA,6832
48977,Joint regime area Sweden / Norway,Joint regime,Norway,Sweden,NA,140
3293,Belgian Exclusive Economic Zone,200NM,Belgium,NA,NA,3495
5668,Dutch Exclusive Economic Zone,200NM,Netherlands,NA,NA,64328
5669,German Exclusive Economic Zone,200NM,Germany,NA,NA,56763
5674,Danish Exclusive Economic Zone,200NM,Denmark,NA,NA,105021
5683,Latvian Exclusive Economic Zone,200NM,Latvia,NA,NA,28353
5673,Croatian Exclusive Economic Zone,200NM,Croatia,NA,NA,55404
5682,Italian Exclusive Economic Zone,200NM,Italy,NA,NA,536654
5695,Overlapping claim Ukrainian Exclusive Economic Zone,Overlapping claim,Ukraine,NA,NA,136198
5689,Romanian Exclusive economic Zone,200NM,Romania,NA,NA,29606
8487,Japanese Exclusive Economic Zone,200NM,Japan,NA,NA,4066513
48950,Overlapping claim Kuril Islands: Japan / Russia,Overlapping claim,Japan,Russia,NA,213723
8333,Indian Exclusive Economic Zone (Andaman and Nicobar Islands),200NM,India,NA,NA,664448
8359,Pakistani Exclusive Economic Zone,200NM,Pakistan,NA,NA,224374
26523,Turkmen Exclusive Economic Zone,200NM,Turkmenistan,NA,NA,61226
26524,Azerbaijanis Exclusive Economic Zone,200NM,Azerbaijan,NA,NA,80614
26522,Kazakh Exclusive Economic Zone,200NM,Kazakhstan,NA,NA,114383
8482,Myanmar Exclusive Economic Zone,200NM,Myanmar,NA,NA,497460
5687,Polish Exclusive Economic Zone,200NM,Poland,NA,NA,29982
8480,Indian Exclusive Economic Zone,200NM,India,NA,NA,1659487
26582,Overlapping claim: Sudan / Egypt,Overlapping claim,Sudan,Egypt,NA,19734
8393,Beninese Exclusive Economic Zone,200NM,Benin,NA,NA,35493
5692,Slovenian Exclusive Economic Zone,200NM,Slovenia,NA,NA,214
8483,Malaysian Exclusive Economic Zone,200NM,Malaysia,NA,NA,510804
49003,Overlapping claim South China Sea,Overlapping claim,China,NA,NA,338839
50167,Joint regime area Croatia / Slovenia,Joint regime,Croatia,Slovenia,NA,98
8327,South Korean Exclusive Economic Zone,200NM,South Korea,NA,NA,347671
48955,Overlapping claim Liancourt Rocks: Japan / South Korea,Overlapping claim,Japan,South Korea,NA,1624
50170,Overlapping claim Qatar / Saudi Arabia / United Arab Emirates,Overlapping claim,Qatar,Saudi Arabia,United Arab Emirates,126
8455,New Zealand Exclusive Economic Zone,200NM,New Zealand,NA,NA,4104551
8442,Jarvis Island Exclusive Economic Zone,200NM,United States,NA,NA,323186
8489,Antarctic 200NM zone beyond the coastline,200NM,Antarctica,NA,NA,9618978
8326,Tuvaluan Exclusive Economic Zone,200NM,Tuvalu,NA,NA,753133
8454,Wallis and Futuna Exclusive Economic Zone,200NM,France,NA,NA,262750
8451,Howland and Baker Islands Exclusive Economic Zone,200NM,United States,NA,NA,434894
8325,Fijian Exclusive Economic Zone,200NM,Fiji,NA,NA,1289978
8464,Brazilian Exclusive Economic Zone,200NM,Brazil,NA,NA,3205183
8441,Kiribati Exclusive Economic Zone (Line Islands),200NM,Kiribati,NA,NA,1641193
8488,Kiribati Exclusive Economic Zone (Gilbert Islands),200NM,Kiribati,NA,NA,1053245
8403,Ecuadorian Exclusive Economic Zone (Galapagos),200NM,Ecuador,NA,NA,841438
8431,Ecuadorian Exclusive Economic Zone,200NM,Ecuador,NA,NA,236293
8397,Sao Tome and Principe Exclusive Economic Zone,200NM,Sao Tome and Principe,NA,NA,130844
8316,Micronesian Exclusive Economic Zone,200NM,Micronesia,NA,NA,3010644
8398,Equatorial Guinean Exclusive Economic Zone,200NM,Equatorial Guinea,NA,NA,304133
8345,Maldives Exclusive Economic Zone,200NM,Maldives,NA,NA,920739
8324,Papua New Guinean Exclusive Economic Zone,200NM,Papua New Guinea,NA,NA,2399638
8350,Somali Exclusive Economic Zone,200NM,Federal Republic of Somalia,NA,NA,781843
8317,Nauruan Exclusive Economic Zone,200NM,Nauru,NA,NA,309261
8476,Gabonese Exclusive Economic Zone,200NM,Gabon,NA,NA,201759
8492,Indonesian Exclusive Economic Zone,200NM,Indonesia,NA,NA,6020917
48978,Joint regime area United States / Russia,Joint regime,United States,Russia,NA,8521
5677,French Exclusive Economic Zone,200NM,France,NA,NA,345240
8378,Algerian Exclusive Economic Zone,200NM,Algeria,NA,NA,131193
8400,Ghanaian Exclusive Economic Zone,200NM,Ghana,NA,NA,227500
8438,Greenlandic Exclusive Economic Zone,200NM,Denmark,NA,NA,2268623
5696,United Kingdom Exclusive Economic Zone,200NM,United Kingdom,NA,NA,731309
8453,United States Exclusive Economic Zone (Hawaii),200NM,United States,NA,NA,2474715
33181,Svalbard Exclusive Economic Zone,200NM,Norway,NA,NA,797063
5686,Norwegian Exclusive Economic Zone,200NM,Norway,NA,NA,933027
5690,Russian Exclusive economic Zone,200NM,Russia,NA,NA,7734809
8437,Jan Mayen Exclusive Economic Zone,200NM,Norway,NA,NA,292907
8463,United States Exclusive Economic Zone (Alaska),200NM,United States,NA,NA,3682912
5693,Spanish Exclusive Economic Zone,200NM,Spain,NA,NA,561763
62589,Chagos Archipelago Exclusive Economic Zone,200 NM,Mauritius,NA,NA,650804
8383,Overlapping claim South Georgia and South Sandwich Islands: UK / Argentina,Overlapping claim,United Kingdom,Argentina,NA,1237783
8402,Bermudian Exclusive Economic Zone,200NM,United Kingdom,NA,NA,464389
8456,United States Exclusive Economic Zone,200NM,United States,NA,NA,2451023
